lat,lng,user,text,bot_request_message,time,file_id,filename,username,first_name,file_path
40.355846,18.164744,69668132,"",807,"2015-09-21 16:57:50 ",AgADBAAD6qcxGyQNJwR9Bb_ElKmBYjawaTAABFX_coZiTv90oAEBAAEC,"",piersoft,Piersoft,photo/file_62
40.355846,18.164744,69668132,nulla,812,"2015-09-21 17:08:18 ","","",piersoft,Piersoft,""
40.355846,18.164744,69668132,"",820,"2015-09-21 17:14:30 ",AgADBAAD66cxGyQNJwTRzz3FSSODB-SwaTAABLIL1EJNAn4i3AIBAAEC,"",piersoft,Piersoft,photo/file_63
40.355846,18.164744,69668132,"audio allegato",831,"2015-09-21 17:16:58 ",AwADBAADHwADJA0nBBXArv8ox1Q9Ag,"",piersoft,Piersoft,""
40.355846,18.164744,69668132,ciao,836,"2015-09-21 17:18:45 ","","",piersoft,Piersoft,""
40.355846,18.164744,69668132,"prova messaggio",841,"2015-09-21 17:20:23 ","","",piersoft,Piersoft,""
40.355846,18.164744,69668132,ciao,846,"2015-09-21 17:26:31 ","","",piersoft,Piersoft,""
40.355846,18.164744,69668132,nulla,859,"2015-09-22 00:00:26 ","","",piersoft,Piersoft,""
40.355846,18.164744,69668132,nulla,927,"2015-09-22 09:26:32 ","","",piersoft,Piersoft,""
45.498712,9.237064,123504674,"Niente, solo un test",1524,"2015-09-23 18:27:15 ","","",iricelino,Irene,""
38.120186,13.347009,123648424," ",1635,"2015-09-23 22:48:10 "," "," "," "," "," "
40.312418,18.112502,69668132,nulla,1707,"2015-09-24 10:36:06 ","","",piersoft,Piersoft,""
40.674014,16.599375,69668132,"nulla aiutatemi",1729,"2015-09-24 16:04:04 ",AgADBAAD7acxGyQNJwR3UbcPEnjF1v02cTAABJ02viXdOolF-NUAAgI,"",piersoft,Piersoft,photo/file_6.jpg
40.641123,15.789507,132941597," ",1757,"2015-09-24 22:37:45 "," "," "," "," "," "
40.328918,18.162941,69668132,/farmacie,1787,"2015-09-25 12:01:44 ","","",piersoft,Piersoft,""
40.328918,18.162941,69668132,nulla,1792,"2015-09-25 12:06:40 ","","",piersoft,Piersoft,""
40.336085,18.15161,69668132,farmacie,1805,"2015-09-25 16:55:35 ","","",piersoft,Piersoft,""
40.336085,18.15161,69668132,nulla,1809,"2015-09-25 16:58:22 ","","",piersoft,Piersoft,""
40.336085,18.15161,69668132,farmacie,1814,"2015-09-25 17:00:36 ","","",piersoft,Piersoft,""
40.336085,18.15161,69668132,musei,1819,"2015-09-25 17:02:06 ","","",piersoft,Piersoft,""
40.336085,18.15161,69668132,farmacie,1824,"2015-09-25 17:06:08 ","","",piersoft,Piersoft,""
40.336085,18.15161,69668132,ciao,1829,"2015-09-25 17:07:55 ","","",piersoft,Piersoft,""
